0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
18.186535,83592.62,2079.0532,1718.8088,0.04320073,0.058716845,8.321185,126.186226,87932.27,2112.1792,73947.95,3014.705,9584.601,48666.223,1.03E-08,1.49E-08
11.913501,207267.67,2723.9512,3014.7478,0.017269071,0.029912982,13.973988,149.49962,194183.77,2880.522,201192.9,3383.4358,4858.6343,120246.875,4.31E-09,9.70E-09
30.618444,102666.07,2502.289,2489.4722,0.057222016,0.03285869,10.731303,36.702175,120715.3,2592.752,96016.46,4657.002,9507.612,47432.805,9.66E-09,1.58E-08
18.059753,124285,3265.5522,2759.7087,0.01420246,0.015500379,31.073555,86.027405,179137.52,3408.8813,138811.72,4323.1587,8545.9,49305.094,8.15E-09,8.84E-09
21.579424,119529.64,4901.8027,2932.0813,0.027788827,0.046804197,13.939091,56.087654,194430.39,4819.6265,122292.664,3413.752,6273.4624,57953.336,7.29E-09,9.08E-09
18.00372,125245.33,2969.7307,1818.1362,0.021791194,0.048371635,7.948749,169.97542,90205.49,2907.9377,151191.02,2383.8655,39824.66,48602.05,8.66E-09,1.16E-08
15.495635,89696.4,3676.8193,2148.3928,0.038489178,0.03869998,12.086696,56.36296,104981.63,3135.5813,196976.77,5873.1206,1088.3547,69635.05,7.74E-09,1.22E-08
14.625109,113067.51,4089.4368,2494.1467,0.01088081,0.011088704,43.094055,56.513084,200773.9,4106.9165,112320.7,1851.7054,300958.06,50829,8.50E-09,1.04E-08
71.548645,86384.164,4045.7896,2520.4688,0.026757164,0.026097463,20.894602,94.746,184510.78,3893.5195,86560.9,2872.726,16736.254,46984.5,1.05E-08,1.01E-08
32.49565,126890.945,5165.799,3082.879,0.025324384,0.04084956,17.983654,95.62191,222955.22,5210.2686,111024.336,2617.4924,49088.965,58760.938,7.34E-09,1.58E-08
15.217586,139295.25,4307.243,2004.055,0.008600634,0.024211785,14.726224,124.13728,340329.47,4103.996,191827.55,2387.8994,11948.188,64734.258,7.08E-09,1.35E-08
29.815096,137038.81,3038.5867,2873.1501,0.01803632,0.051553037,6.234444,70.65471,158242.55,3171.3188,173717.98,4861.849,8694.159,54354.855,7.29E-09,1.35E-08
13.092224,137652.84,3921.0312,2332.363,0.018837683,0.056580696,9.612303,79.60986,495360.25,3997.4368,176968.19,2825.488,4454.595,65548.03,7.27E-09,2.06E-08
14.617146,58419.43,2590.804,2562.365,0.022750968,0.032115795,19.645815,61.27513,182147.55,3053.4739,59508.7,3259.7063,7852.016,24211.164,1.83E-08,1.21E-08
