captive_time,div_time,div_time_dom,div_time_scot,mig_rate_captive,mig_rate_scot,mig_length_scot,pop_size_captive,pop_size_domestic_1,pop_size_lyb_1,pop_size_lyb_2,pop_size_scot_1,pop_size_eu_1,pop_size_eu_2,mutation_rate,recombination_rate
13.0825405,70073.1,3348.0479,3348.2969,0.042210463,0.030982552,17.134726,60.484978,215407.69,3334.079,83809.586,1768.5382,22854.24,21801.18,1.78E-08,1.73E-08
17.808979,116000.77,5644.0933,4677.159,0.050896015,0.045517776,10.924721,76.94835,519097.66,5267.9575,96661.87,5404.4727,35655.406,41407.645,1.02E-08,1.31E-08
46.320297,86273.05,3210.4985,1615.2502,0.09484076,0.07289244,6.688126,129.20332,208897.39,3494.9583,87800.8,841.56384,10888.543,30320.203,1.34E-08,9.30E-09
36.236416,95557.51,3524.2546,2484.9597,0.040197022,0.025247432,18.447435,49.687473,203108.89,2756.1194,43136.17,3033.8267,39094.613,53759.246,1.06E-08,1.01E-08
28.4265,85422.336,1533.3707,4378.203,0.04184042,0.05501974,10.020841,123.00516,99078.22,1666.0978,84445.734,6522.558,8004.4883,38843.61,1.23E-08,9.77E-09
21.180033,84037.13,4470.8657,3226.564,0.044750083,0.062909715,8.329887,225.6691,388143,3888.4028,81915.87,2323.7378,6522.707,32205.525,1.45E-08,1.45E-08
29.201754,102923.41,4455.6953,4308.48,0.045658108,0.05126528,9.261527,115.1944,390885.2,4517.768,101357.12,3268.4075,47457.984,40526.395,1.14E-08,1.43E-08
31.2821,137549.55,3486.5156,3332.3052,0.019332366,0.044045627,14.578708,206.4345,116486.445,3233.4885,113727.61,4022.7258,20521.94,64135.434,7.39E-09,1.35E-08
21.867212,154320.66,4600.4326,1432.2386,0.04758064,0.07707415,7.5287914,78.57778,363512.8,4803.9272,146264.14,638.75586,37159.332,54363.332,6.82E-09,2.07E-08
52.638412,91413.04,4910.8853,2232.1565,0.052431602,0.037992567,12.783198,46.27231,323636.44,4572.605,68602.195,2308.227,22128.709,38908.68,1.26E-08,1.32E-08
25.991898,112042.08,3925.5022,3244.5813,0.0675507,0.05161005,9.184429,103.626175,113833.52,3987.0571,118819.17,1564.1903,31717.9,40536.793,1.06E-08,2.36E-08
42.942795,160755.44,8019.9688,3216.269,0.06956011,0.044242423,9.448312,60.141933,301254.97,8766.646,225534.86,1492.3358,59811.195,56709.484,8.10E-09,1.16E-08
14.139324,156962.36,4360.9346,1886.9984,0.021049336,0.044967856,14.314236,121.39669,277690.56,4684.185,229418.64,1750.624,67108.44,52739.414,7.54E-09,9.70E-09
12.265867,105709.89,4481.0293,2562.56,0.06498415,0.083688654,4.0319667,72.14211,197874.6,5119.658,104402.94,2983.8164,4180.5283,57929.66,8.57E-09,2.06E-08
10.706217,142340.48,3651.329,2061.1367,0.07148519,0.092685,6.3815784,172.52495,446749.88,4304.242,247724.05,2236.8765,18269.22,40622.746,9.16E-09,1.64E-08
10.402587,57486.137,3608.4763,2160.7986,0.033793584,0.025908532,15.330274,190.06444,141955.77,3672.128,62636.535,2118.724,4004.8196,20941.31,1.86E-08,1.77E-08
82.24505,160461.05,5119.0435,2188.4795,0.022748368,0.052312184,13.208995,37.37276,199323.3,5586.643,230362.47,1155.7437,76579.54,59959.05,6.59E-09,9.19E-09
19.41379,78179.42,4786.3945,3874.5847,0.14471892,0.07801202,7.4612746,81.1211,147993.75,5222.786,129041.7,2862.324,52669,20163.123,1.72E-08,7.53E-09
16.060766,87675.125,3208.5796,2632.9766,0.029520933,0.052856825,8.923547,79.68477,189250.06,3268.5789,75656.836,5345.7285,6273.2754,40766.613,1.14E-08,1.34E-08
23.142817,49039.844,3381.3616,1490.8152,0.085984156,0.051301558,8.496262,132.89207,188195.94,3373.6826,58854.77,681.2222,15143.419,16071.718,2.40E-08,2.54E-08
22.770178,80251.15,4338.0044,2312.8213,0.049988747,0.04877279,8.922082,56.159767,103923.83,4705.102,131169.34,7935.004,3871.079,31018.633,1.50E-08,7.06E-09
8.352271,104818.65,3237.806,3797.2957,0.006552036,0.036314145,12.703454,84.18247,235232.12,3028.2822,112646.88,7908.487,26821.486,36871.527,1.14E-08,2.04E-08
38.426773,111979.81,7947.3413,2420.716,0.031231482,0.06116774,8.990463,56.879967,221542.27,8000.2295,85730.336,3391.8616,3849.73,57943.31,8.66E-09,1.41E-08
