0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
35.072212,207416.48,2571.297,2697.073,0.041841015,0.09133339,5.754283,223.14668,146467.22,2412.1628,357000,3859.9497,14065.568,76470.65,5.58E-09,1.19E-08
35.927082,76693.92,3904.124,2735.662,0.0685386,0.040708564,10.4394865,58.354717,84776.01,3876.743,57317.367,5607.134,5903.1074,34509.2,1.32E-08,1.50E-08
18.4048,55193.16,6936.4365,3762.6816,0.021474836,0.028154647,18.592932,43.40415,208208.64,7270.391,55625.94,2396.462,125987.31,17909.629,2.10E-08,1.11E-08
32.498425,136197.62,5441.0146,3661.0574,0.024562465,0.029529348,17.500391,88.166,223999.45,5162.633,131347.23,1839.3062,34570.703,48738.55,8.20E-09,1.10E-08
10.26598,110091.69,3930.765,2344.192,0.06361604,0.049890485,14.047292,36.493305,216960.33,3914.0222,69535.48,2164.5452,41355.79,46742.137,1.01E-08,1.11E-08
43.326366,64178.44,2577.8318,3369.7502,0.025069868,0.035454635,14.9314995,158.97617,168182.73,2302.9238,72421.945,3572.4077,12969.801,20198.305,1.82E-08,1.19E-08
24.750763,96581.62,5429.8335,3470.7942,0.051898826,0.025935143,17.679361,208.52805,278435.44,5035.7837,101256.34,1248.0294,64820.504,33452.12,1.22E-08,1.65E-08
5.530133,104871.55,3168.7405,3251.647,0.024021642,0.053810492,8.928893,154.8451,206948.22,3103.986,124104.34,1787.7018,59957.164,33763.17,1.21E-08,1.68E-08
17.050787,88850.59,1650.3873,2074.0383,0.032025557,0.050994836,9.182364,42.877064,48062.3,1607.0292,57896.906,2214.548,24085.078,33948.113,1.16E-08,2.31E-08
15.184565,107447.72,7696.6885,1692.1035,0.014093091,0.058778893,8.268669,77.268196,324152.6,7299.765,123457.69,1575.9878,13806.451,36915.65,1.11E-08,1.09E-08
23.666103,89422.69,2971.026,2865.8723,0.034718625,0.04415609,15.890411,31.285568,129247.75,3035.0537,99275.33,1966.6078,18903.207,33686.11,1.22E-08,1.17E-08
13.228384,79435.49,4292.1333,2755.6277,0.020283129,0.045331556,9.36625,104.20463,213459.03,4135.9004,111563.016,1769.6465,83503.39,23542.568,1.59E-08,1.30E-08
